,기준년월(STD_YM),성별코드(SEX_CD),연령대코드(AGE_CD),시간대코드(TIME_CD),구매_고객수(ACC_CNT),구매건수(PURH_CNT),구매금액(PURH_AMT),구매지역(PURH_AREA),구매_시도명(P_SIDO_NM),구매_시군구명(P_SIGNGU_NM),구매_읍면동명(P_EMD_NM),세부분류코드(DETAL_CLASS_CD),세부분류명(DETAL_CLASS_NM),통계청분류코드(STAT_CLASS_CD),통계청분류명(STAT_CLASS_NM)
192,201801,2,6,5,1,1,18000,11410660,서울특별시,서대문구,홍은제1동,1020699,기타스낵류,A,식료품 및 비주류음료
193,201908,2,3,4,1,2,1000,11680610,서울특별시,강남구,대치2동,1011107,축산소재류(냉장/냉동),A,식료품 및 비주류음료
194,201809,2,7,5,1,5,9000,11710690,서울특별시,송파구,잠실4동,3020101,바디클렌저,L,기타 상품 및 서비스
195,201909,2,4,3,1,1,1000,11350630,서울특별시,노원구,상계1동,5030401,문풍지/방충망,E,가정용품 및 가사 서비스
196,201812,1,6,4,1,3,4000,11500620,서울특별시,강서구,공항동,1060103,호상발효유,A,식료품 및 비주류음료
197,201803,2,5,3,1,1,3000,11380690,서울특별시,은평구,진관동,1070201,달걀,A,식료품 및 비주류음료
198,201911,2,4,4,1,1,5000,11380690,서울특별시,은평구,진관동,5010701,일회용종이컵,E,가정용품 및 가사 서비스
199,201903,2,5,6,1,1,6000,11500640,서울특별시,강서구,방화제2동,1060204,저지방우유,A,식료품 및 비주류음료
200,201907,1,5,5,1,7,1000,11305610,서울특별시,강북구,수유1동,2010301,화장지,E,가정용품 및 가사 서비스
201,201902,1,5,5,1,1,2000,11560610,서울특별시,영등포구,양평제1동,1070110,특용작물,A,식료품 및 비주류음료
202,201908,2,3,4,1,1,4000,11545610,서울특별시,금천구,독산제1동,3020203,헤어트리트먼트/헤어팩,L,기타 상품 및 서비스
203,201806,2,5,5,1,1,6000,11710680,서울특별시,송파구,잠실3동,1060101,드링크발효유,A,식료품 및 비주류음료
204,201907,2,5,4,1,1,2000,11200570,서울특별시,성동구,행당제2동,1030101,식빵류,A,식료품 및 비주류음료
205,201808,2,4,2,1,3,1000,11545610,서울특별시,금천구,독산제1동,1020599,기타반생케익류,A,식료품 및 비주류음료
206,201809,2,4,2,1,1,7000,11320690,서울특별시,도봉구,방학제1동,1020202,소프트캔디,A,식료품 및 비주류음료
